Random Seed,NSamples,Feature,Shapley Value,Entity,Tolerance
42,7000,Conductivity (uS/cm),0.23168973449676689,7.0,0.05
42,7000,Temperature (°C),-0.16935797551321607,7.0,0.05
42,7000,pH,0.3276390726604165,7.0,0.05
42,7000,Free Chlorine (mg/l),0.10799423153438248,7.0,0.05
42,7000,nitrati,-0.031056492290799542,7.0,0.05
42,7000,UV254,-0.07969170600648834,7.0,0.05
42,7000,Pressione (atm),0.003700816442096056,7.0,0.075
42,7000,TOCeq (mg/l),0.07096904099933678,7.0,0.075
42,7000,DOCeq (mg/l),0.0,7.0,0.075
42,7000,Turbidity (FTU),1.0594642137724268,7.0,0.075
42,7000,Conductivity (uS/cm),0.23538015494270872,7.0,0.075
42,7000,Temperature (°C),-0.16451920706128348,7.0,0.075
42,7000,pH,0.32337382937234543,7.0,0.075
42,7000,Free Chlorine (mg/l),0.10197191257325378,7.0,0.075
42,7000,nitrati,-0.03028919848184691,7.0,0.075
42,7000,UV254,-0.08269991515174742,7.0,0.075
42,7000,Pruned Events,0.053192118614438844,7.0,0.075
42,7000,Pressione (atm),0.0054165399263774675,8.0,0.05
42,7000,TOCeq (mg/l),0.07313853861793643,8.0,0.05
42,7000,DOCeq (mg/l),0.0,8.0,0.05
42,7000,Turbidity (FTU),1.1003413058462606,8.0,0.05
42,7000,Conductivity (uS/cm),0.23413200378417892,8.0,0.05
42,7000,Temperature (°C),-0.1708009481430053,8.0,0.05
42,7000,pH,0.3257433208208235,8.0,0.05
42,7000,Free Chlorine (mg/l),0.10620789092684503,8.0,0.05
42,7000,nitrati,-0.030945863231780436,8.0,0.05
42,7000,UV254,-0.08209714473239992,8.0,0.05
42,7000,Pruned Events,0.03125870814399212,8.0,0.05
42,7000,Pressione (atm),0.0054165399263774675,8.0,0.075
42,7000,TOCeq (mg/l),0.07313853861793643,8.0,0.075
42,7000,DOCeq (mg/l),0.0,8.0,0.075
42,7000,Turbidity (FTU),1.1003413058462606,8.0,0.075
42,7000,Conductivity (uS/cm),0.23413200378417892,8.0,0.075
42,7000,Temperature (°C),-0.1708009481430053,8.0,0.075
42,7000,pH,0.3257433208208235,8.0,0.075
42,7000,Free Chlorine (mg/l),0.10620789092684503,8.0,0.075
42,7000,nitrati,-0.030945863231780436,8.0,0.075
42,7000,UV254,-0.08209714473239992,8.0,0.075
42,7000,Pruned Events,0.03125870814399212,8.0,0.075
42,7000,Pressione (atm),0.006232945124307549,9.0,0.05
42,7000,TOCeq (mg/l),0.07578991405547605,9.0,0.05
42,7000,DOCeq (mg/l),0.0,9.0,0.05
42,7000,Turbidity (FTU),1.1008440142586133,9.0,0.05
42,7000,Conductivity (uS/cm),0.23833383208229375,9.0,0.05
42,7000,Temperature (°C),-0.1731136106309443,9.0,0.05
42,7000,pH,0.33134050728782793,9.0,0.05
42,7000,Free Chlorine (mg/l),0.10033363406620284,9.0,0.05
42,7000,nitrati,-0.029636843053121413,9.0,0.05
42,7000,UV254,-0.07299510581152793,9.0,0.05
42,7000,Pruned Events,0.03646333728517881,9.0,0.05
42,7000,Pressione (atm),0.006232945124307549,9.0,0.075
42,7000,TOCeq (mg/l),0.07578991405547605,9.0,0.075
42,7000,DOCeq (mg/l),0.0,9.0,0.075
42,7000,Turbidity (FTU),1.1008440142586133,9.0,0.075
42,7000,Conductivity (uS/cm),0.23833383208229375,9.0,0.075
42,7000,Temperature (°C),-0.1731136106309443,9.0,0.075
42,7000,pH,0.33134050728782793,9.0,0.075
42,7000,Free Chlorine (mg/l),0.10033363406620284,9.0,0.075
42,7000,nitrati,-0.029636843053121413,9.0,0.075
42,7000,UV254,-0.07299510581152793,9.0,0.075
42,7000,Pruned Events,0.03646333728517881,9.0,0.075
42,7000,Pressione (atm),0.006658519638910287,10.0,0.05
42,7000,TOCeq (mg/l),0.07926187250349326,10.0,0.05
42,7000,DOCeq (mg/l),0.0,10.0,0.05
42,7000,Turbidity (FTU),1.1450742575857362,10.0,0.05
42,7000,Conductivity (uS/cm),0.23290013434394852,10.0,0.05
42,7000,Temperature (°C),-0.17351467647249774,10.0,0.05
42,7000,pH,0.3289757191188758,10.0,0.05
42,7000,Free Chlorine (mg/l),0.08861606026452706,10.0,0.05
42,7000,nitrati,-0.032185439079526534,10.0,0.05
42,7000,UV254,-0.07137961425478512,10.0,0.05
42,7000,Pressione (atm),0.004649067303491217,10.0,0.075
42,7000,TOCeq (mg/l),0.07548873784050138,10.0,0.075
42,7000,DOCeq (mg/l),0.0,10.0,0.075
42,7000,Turbidity (FTU),1.087148084148529,10.0,0.075
42,7000,Conductivity (uS/cm),0.2411313450525671,10.0,0.075
42,7000,Temperature (°C),-0.16821988423665396,10.0,0.075
42,7000,pH,0.3287905388408237,10.0,0.075
42,7000,Free Chlorine (mg/l),0.08340721603423817,10.0,0.075
42,7000,nitrati,-0.03104537422694881,10.0,0.075
42,7000,UV254,-0.0758237352446906,10.0,0.075
42,7000,Pruned Events,0.058880838136824654,10.0,0.075
42,7000,Pressione (atm),0.0052215551573142616,11.0,0.05
42,7000,TOCeq (mg/l),0.07537419095871944,11.0,0.05
42,7000,DOCeq (mg/l),0.0,11.0,0.05
42,7000,Turbidity (FTU),1.1363479896197233,11.0,0.05
42,7000,Conductivity (uS/cm),0.2273873662191711,11.0,0.05
42,7000,Temperature (°C),-0.17325412053910527,11.0,0.05
42,7000,pH,0.31721370712159236,11.0,0.05
42,7000,Free Chlorine (mg/l),0.08377502740375631,11.0,0.05
42,7000,nitrati,-0.034321141432201996,11.0,0.05
42,7000,UV254,-0.08132949348479945,11.0,0.05
42,7000,Pressione (atm),0.0055366304185650314,11.0,0.075
42,7000,TOCeq (mg/l),0.0712909426007951,11.0,0.075
42,7000,DOCeq (mg/l),0.0,11.0,0.075
42,7000,Turbidity (FTU),1.0631437082139281,11.0,0.075
42,7000,Conductivity (uS/cm),0.23700025176244985,11.0,0.075
42,7000,Temperature (°C),-0.1677174986354888,11.0,0.075
42,7000,pH,0.31869803118327333,11.0,0.075
42,7000,Free Chlorine (mg/l),0.07835392724899998,11.0,0.075
42,7000,nitrati,-0.03307293388578625,11.0,0.075
42,7000,UV254,-0.08306805652285419,11.0,0.075
42,7000,Pruned Events,0.06625007864028776,11.0,0.075
42,7000,Pressione (atm),0.011825834191035778,12.0,0.05
42,7000,TOCeq (mg/l),0.07361086682667828,12.0,0.05
42,7000,DOCeq (mg/l),0.0,12.0,0.05
42,7000,Turbidity (FTU),1.151446012845115,12.0,0.05
42,7000,Conductivity (uS/cm),0.2266897782446834,12.0,0.05
42,7000,Temperature (°C),-0.18562208962818927,12.0,0.05
42,7000,pH,0.3282296733250699,12.0,0.05
42,7000,Free Chlorine (mg/l),0.12862680204330934,12.0,0.05
42,7000,nitrati,-0.03704192846540466,12.0,0.05
42,7000,UV254,-0.09668453174924063,12.0,0.05
42,7000,Pressione (atm),0.011825834191035778,12.0,0.075
42,7000,TOCeq (mg/l),0.07361086682667828,12.0,0.075
42,7000,DOCeq (mg/l),0.0,12.0,0.075
42,7000,Turbidity (FTU),1.151446012845115,12.0,0.075
42,7000,Conductivity (uS/cm),0.2266897782446834,12.0,0.075
42,7000,Temperature (°C),-0.18562208962818927,12.0,0.075
42,7000,pH,0.3282296733250699,12.0,0.075
42,7000,Free Chlorine (mg/l),0.12862680204330934,12.0,0.075
42,7000,nitrati,-0.03704192846540466,12.0,0.075
42,7000,UV254,-0.09668453174924063,12.0,0.075
42,7000,Pressione (atm),0.015900819074540995,13.0,0.05
42,7000,TOCeq (mg/l),0.07141933668227496,13.0,0.05
42,7000,DOCeq (mg/l),0.0,13.0,0.05
42,7000,Turbidity (FTU),1.1895726811318155,13.0,0.05
42,7000,Conductivity (uS/cm),0.2137529089337291,13.0,0.05
42,7000,Temperature (°C),-0.1802560318083989,13.0,0.05
42,7000,pH,0.30888918184098824,13.0,0.05
42,7000,Free Chlorine (mg/l),0.08790283997853598,13.0,0.05
42,7000,nitrati,-0.04003286304928011,13.0,0.05
42,7000,UV254,-0.13104610102517245,13.0,0.05
42,7000,Pressione (atm),0.014359366704547271,13.0,0.075
42,7000,TOCeq (mg/l),0.06444416878715431,13.0,0.075
42,7000,DOCeq (mg/l),0.0,13.0,0.075
42,7000,Turbidity (FTU),1.1066212900101204,13.0,0.075
42,7000,Conductivity (uS/cm),0.22614472744956818,13.0,0.075
42,7000,Temperature (°C),-0.17279248256532037,13.0,0.075
42,7000,pH,0.31095547051656786,13.0,0.075
42,7000,Free Chlorine (mg/l),0.08708375862666497,13.0,0.075
42,7000,nitrati,-0.04091665139273996,13.0,0.075
