Coalition,t (event index),Shapley Value,Entity
Sum of contribution of events > t,-17,1.4296095371246338,3.0
Sum of contribution of events ≤ t,-17,0.13571953773498535,3.0
Sum of contribution of events > t,-18,1.502061128616333,3.0
Sum of contribution of events ≤ t,-18,0.06326794624328613,3.0
Sum of contribution of events > t,-19,1.5653290748596191,3.0
Sum of contribution of events ≤ t,-19,0.0,3.0
Sum of contribution of events > t,0,0.0,4.0
Sum of contribution of events ≤ t,0,1.5754265785217285,4.0
Sum of contribution of events > t,-1,0.08929061889648438,4.0
Sum of contribution of events ≤ t,-1,1.4861359596252441,4.0
Sum of contribution of events > t,-2,0.4365561008453369,4.0
Sum of contribution of events ≤ t,-2,1.1388704776763916,4.0
Sum of contribution of events > t,-3,0.6029818058013916,4.0
Sum of contribution of events ≤ t,-3,0.9724447727203369,4.0
Sum of contribution of events > t,-4,0.7164876461029053,4.0
Sum of contribution of events ≤ t,-4,0.8589389324188232,4.0
Sum of contribution of events > t,-5,0.7984941005706787,4.0
Sum of contribution of events ≤ t,-5,0.7769324779510498,4.0
Sum of contribution of events > t,-6,0.8931434154510498,4.0
Sum of contribution of events ≤ t,-6,0.6822831630706787,4.0
Sum of contribution of events > t,-7,0.9520204067230225,4.0
Sum of contribution of events ≤ t,-7,0.623406171798706,4.0
Sum of contribution of events > t,-8,0.9991662502288818,4.0
Sum of contribution of events ≤ t,-8,0.5762603282928467,4.0
Sum of contribution of events > t,-9,1.0568759441375732,4.0
Sum of contribution of events ≤ t,-9,0.5185506343841553,4.0
Sum of contribution of events > t,-10,1.1030519008636475,4.0
Sum of contribution of events ≤ t,-10,0.47237467765808105,4.0
Sum of contribution of events > t,-11,1.1614878177642822,4.0
Sum of contribution of events ≤ t,-11,0.4139387607574463,4.0
Sum of contribution of events > t,-12,1.2095086574554443,4.0
Sum of contribution of events ≤ t,-12,0.3659179210662842,4.0
Sum of contribution of events > t,-13,1.2540788650512695,4.0
Sum of contribution of events ≤ t,-13,0.321347713470459,4.0
Sum of contribution of events > t,-14,1.2956244945526123,4.0
Sum of contribution of events ≤ t,-14,0.2798020839691162,4.0
Sum of contribution of events > t,-15,1.3470909595489502,4.0
Sum of contribution of events ≤ t,-15,0.22833561897277832,4.0
Sum of contribution of events > t,-16,1.3863699436187744,4.0
Sum of contribution of events ≤ t,-16,0.1890566349029541,4.0
Sum of contribution of events > t,-17,1.4345152378082275,4.0
Sum of contribution of events ≤ t,-17,0.14091134071350098,4.0
Sum of contribution of events > t,-18,1.5078380107879639,4.0
Sum of contribution of events ≤ t,-18,0.06758856773376465,4.0
Sum of contribution of events > t,-19,1.5754265785217285,4.0
Sum of contribution of events ≤ t,-19,0.0,4.0
Sum of contribution of events > t,0,0.0,5.0
Sum of contribution of events ≤ t,0,1.602160930633545,5.0
Sum of contribution of events > t,-1,0.07826852798461914,5.0
Sum of contribution of events ≤ t,-1,1.5238924026489258,5.0
Sum of contribution of events > t,-2,0.4704921245574951,5.0
Sum of contribution of events ≤ t,-2,1.1316688060760498,5.0
Sum of contribution of events > t,-3,0.6506478786468506,5.0
Sum of contribution of events ≤ t,-3,0.9515130519866943,5.0
Sum of contribution of events > t,-4,0.7494990825653076,5.0
Sum of contribution of events ≤ t,-4,0.8526618480682373,5.0
Sum of contribution of events > t,-5,0.8393299579620361,5.0
Sum of contribution of events ≤ t,-5,0.7628309726715088,5.0
Sum of contribution of events > t,-6,0.9139144420623779,5.0
Sum of contribution of events ≤ t,-6,0.688246488571167,5.0
Sum of contribution of events > t,-7,0.9957845211029053,5.0
Sum of contribution of events ≤ t,-7,0.6063764095306396,5.0
Sum of contribution of events > t,-8,1.0510342121124268,5.0
Sum of contribution of events ≤ t,-8,0.5511267185211182,5.0
Sum of contribution of events > t,-9,1.0947492122650146,5.0
Sum of contribution of events ≤ t,-9,0.5074117183685303,5.0
Sum of contribution of events > t,-10,1.148998498916626,5.0
Sum of contribution of events ≤ t,-10,0.45316243171691895,5.0
Sum of contribution of events > t,-11,1.1940386295318604,5.0
Sum of contribution of events ≤ t,-11,0.40812230110168457,5.0
Sum of contribution of events > t,-12,1.2504427433013916,5.0
Sum of contribution of events ≤ t,-12,0.3517181873321533,5.0
Sum of contribution of events > t,-13,1.2969779968261719,5.0
Sum of contribution of events ≤ t,-13,0.30518293380737305,5.0
Sum of contribution of events > t,-14,1.339301347732544,5.0
Sum of contribution of events ≤ t,-14,0.262859582901001,5.0
Sum of contribution of events > t,-15,1.3778321743011475,5.0
Sum of contribution of events ≤ t,-15,0.22432875633239746,5.0
Sum of contribution of events > t,-16,1.4319758415222168,5.0
